ResID;Chinese_Simplified;Chinese_Traditional;Japanese;Korean;English;French;German;Italian;Dutch;Portuguese;Spanish;Swedish;Czech;Danish;Polish;Russian;Turkey;Hebrew;Thai;Hungarian;Romanian;Arabic
m26;睡眠;睡眠;睡眠;睡眠;Sleep;睡眠;睡眠;;;;;;;;;;;;;;;
m27;小时;小時;小时;小时;Hours;小时;小时;;;;;;;;;;;;;;;
m28;分钟;分鐘;分钟;分钟;Minutes;分钟;分钟;;;;;;;;;;;;;;;
m29;目标：;目標：;目标：;目标：;Objectives:;目标：;目标：;;;;;;;;;;;;;;;
m30;小时;小時;小时;小时;Hours;小时;小时;;;;;;;;;;;;;;;
m31;锻炼;鍛煉;锻炼;锻炼;Exercise;锻炼;锻炼;;;;;;;;;;;;;;;
m32;锻炼记录;鍛煉記錄;锻炼记录;锻炼记录;Exercise record;锻炼记录;锻炼记录;;;;;;;;;;;;;;;
m33;训练状态;訓練狀態;训练状态;训练状态;Training status;训练状态;训练状态;;;;;;;;;;;;;;;
m34;心率;心率;心率;心率;Heart rate;心率;心率;;;;;;;;;;;;;;;
m35;血氧饱和度;血氧飽和度;血氧饱和度;血氧饱和度;Blood oxygen saturation;血氧饱和度;血氧饱和度;;;;;;;;;;;;;;;
m36;活动记录;活動記錄;活动记录;活动记录;Activity record;活动记录;活动记录;;;;;;;;;;;;;;;
m37;睡眠;睡眠;睡眠;睡眠;Sleep;睡眠;睡眠;;;;;;;;;;;;;;;
m38;压力;壓力;压力;压力;Pressure;压力;压力;;;;;;;;;;;;;;;
m39;呼吸训练;呼吸訓練;呼吸训练;呼吸训练;Breathing training;呼吸训练;呼吸训练;;;;;;;;;;;;;;;
m40;通话记录;通話記錄;通话记录;通话记录;Call log;通话记录;通话记录;;;;;;;;;;;;;;;
m41;常用联系人;常用聯繫人;常用联系人;常用联系人;Common contacts;常用联系人;常用联系人;;;;;;;;;;;;;;;
m42;音乐;音樂;音乐;音乐;Music;音乐;音乐;;;;;;;;;;;;;;;
m43;海拔气压计;海拔氣壓計;海拔气压计;海拔气压计;Altitude barometer;海拔气压计;海拔气压计;;;;;;;;;;;;;;;
m44;指南计;指南計;指南计;指南计;Guidebook;指南计;指南计;;;;;;;;;;;;;;;
